term,definition
Noncompliance,"Failure to follow instructions given by health care providers, such as not taking medication as prescribed or not attending follow-up appointments."
Noninvasive,Nonpenetrating. Noninvasive tests or procedures do not penetrate the body and are usually considered low-risk and painless.
Norepinephrine,A hormone produced by the adrenal glands that also acts as a neurotransmitter for nerve cells. Part of the fight-or-flight response.
NOTA,"The National Organ Transplant Act, passed by Congress in 1984, outlawed the sale of human organs and initiated the development of a national system for organ sharing and a scientific registry to collect and report transplant data."
Nuclear Scan,Nuclear imaging is a method of producing images by detecting radiation from different parts of the body after the administration of a radioactive tracer material.
Obesity,"Excess of body fat that is 20 percent or more over a person's ideal weight. Obesity strains the cardiovascular system and increases the risk of diabetes, hypertension, and elevated lipid levels."
Occlusion,Complete blockage of a vessel.
Odynophagia,Pain when swallowing.
Off Pump Heart Surgery,"Off pump heart surgery, usually off pump coronary artery bypass, is heart surgery done without the use of the cardiopulmonary bypass machine."
Ohio Solid Organ Transplantation Consortium (OSOTC),An organization that establishes and enforces regulations to ensure equality in organ transplantation and fairness in distribution of donor organs.
Ombudsman,"The staff of the Ombudsman's office is available to patients and family members to help investigate and solve problems with medical service. The Ombudsman acts as a ""go-between"" for the patient and Cleveland Clinic. The ombudsmen report directly to key administrators and have the authority to investigate patient complaints. To contact an ombudsman, call 216.444.2544."
Omega 3 (Linolenic acid),"An essential fatty acid. Omega 3, which is found in fish and certain plants, may reduce the risk of cardiovascular disease and myocardial infarction by lowering triglyceride levels and blood pressure and preventing the formation of life-threatening thrombi."
Open Heart Surgery,Any of a number of invasive cardiac (heart) surgical procedures.
Organ Preservation,"Between procurement from a donor and transplant, organs require special methods of preservation. The length of time that organs and tissues can be kept outside the body vary, depending on the organ, the preservation fluid and the temperature."
Osteoporosis,A severe weakening of bone
Oxidation,"A process in which free radicals released during metabolism damage cells and the DNA that control cell growth. Oxidation can accelerate the process of atherosclerosis by damaging particles of low-density lipoprotein cholesterol, making them more potent as a plaque builder."
Pacemaker,A small electronic device is implanted under the skin and sends electrical impulses to the heart muscle to maintain a suitable heart rate and to prevent slow heart rates.
Palliative Care,Medical treatments intended to control suffering and discomfort (such as pain medication or treatment of an infection). These treatments will not cure the patient.
Palpitation,A fluttering sensation in the chest that is often related to a missed heart beat or rapid heartbeat.
Panel Reactive Antibody (PRA),"The percentage of cells from a panel of donors with which a potential recipient's blood serum reacts. The more antibodies in the recipient's blood, the higher the PRA. The higher the PRA, the less chance of getting a good crossmatch."
Papillary Muscles,Small muscles that are part of the inside walls of the ventricles and attach to the chordae tendineae.
Parenteral Nutrition,"A method of providing food through a tube placed in the nose, the stomach or the small intestine. A tube in the nose is called a nasogastric or nasoenteral tube. A tube that goes through the skin into the stomach is called a gastrostomy or percutaneous endoscopic gastrostomy (PEG). A tube into the small intestine is called a jejunostomy or percutaneous endoscopic jejunostomy (PEJ) tube. Also called tube feeding. See also gastrostomy and jejunostomy."
Parietal Pericardium,The fibrous outer layer of the pericardium
Patency Rate,The likelihood that a vessel will remain open.
Patient Service Representative,"Members of this department can address or direct questions concerning hospital policies and procedures, secure patient valuables and belongings, and provide notary service."
Pectus Excavatum,"Also known as sunken or funnel chest. A congenital chest wall deformity in which several ribs and the sternum grow abnormally, producing a concave, or caved-in, appearance to the front of the chest wall."
Penile Pulse Volume Recording,A procedure that tests the blood flow to the penis.
Pericardial Cavity,The space between the epicardium and the outer layer of the pericardium. The cavity is normally filled with a small amount of clear fluid that reduces the friction between the two membranes.
Pericardial Effusion,Presence of an abnormal amount and/or type of fluid in the pericardial space.
Pericardial Space,The space between the layers of the pericardium. It contains fluid that lubricates the membrane surfaces and allows easy heart movement.
Pericardiocentesis (pericardial tap),An invasive procedure that involves using a needle and catheter to remove fluid from the sac around the heart. The fluid may then be sent to a laboratory for tests to look for signs of infection or cancer.
Pericarditis,"An inflammation of the membrane surrounding the heart, usually accompanied by fluid buildup; can cause irregular heart beat."
Pericardium,The sac that surrounds the heart.
Peripheral Artery Disease (PAD),"Damage or narrowing to the blood vessels that carry blood away from the heart to your arms, legs or organs."
Peripheral Intervention,An attempt to increase artery blood flow to a limb or organ by opening a narrowed area. A stent may be used to try to keep the artery open.
Peripheral Vascular Disease (PVD),Damage to or blockage in the veins that carry blood from your arms and legs back to your heart
Peritoneum,The inner lining of the abdomen.
Permanently Unconscious State,"A condition of coma in which a patient is irreversibly unaware of himself and his environment, and has a total loss of higher brain functioning, resulting in no capacity to experience pain or suffering."
Persistent Vegetative State,"Same as ""permanently unconscious state."""
Pharmacologist,A medication specialist who checks your blood levels to monitor your response to immunosuppressive medications.
Physical Therapist,An expert who can recommend exercises to help you maintain flexibility and regain your strength.
Phytochemical,An organic compound found in plants that is believed to play a role in preventing cardiovascular or other diseases.
Plaque,"Deposits of fats, inflammatory cells, proteins and calcium material along the lining of arteries, caused by atherosclerosis. The plaque builds up and narrows the artery"
Platelet Antagonist,"A type of anticoagulant medication that prevents blood clotting by interfering with the activity of platelets, such as aspirin."
Platelets,Components of blood that aid in clotting.
Pleura,"The thin membrane that lines the outside of the lungs and the inside of the chest cavity. The pleura acts as a lubricant to hep you breathe easily. Normally, very little fluid is present in the pleura."
Pleural Effusion,An excessive build-up of fluid between the layers of the pleura.
Pleural Mesothelioma,"A rare form of cancer in which tumors form in the sac lining the chest (the pleura) or the abdomen (the peritoneum). Most people with mesothelioma have worked in jobs where they breathed asbestos. Symptoms include shortness of breath, pain in the chest, or pain or swelling in the abdomen."
Pleural Space,The cavity between the lung and the membrane that surrounds it.
Pleuroscopy,Another term for minimally invasive thoracic surgery. See video-assisted thoracic surgery (VATS).
Pneumonectomy,"Surgical removal of a lung, usually as a treatment for cancer."
Pneumonia,"A group of diseases that cause infection or inflammation (swelling) in the lungs. Pneumonia causes air sacs in the lungs to fill with pus and other fluids, making it difficult for oxygen to reach the blood. People who are otherwise healthy often recover quickly when given prompt and proper care. However, pneumonia is a serious infection that affects thousands of older people each year."
Pneumothorax,A collection of air or gas in the space surrounding the lungs.
Positron Emission Tomography (PET),Also known as cardiac viability study. An imaging procedure that uses radioactive tracers to create three dimensional pictures of the tissues inside of the body and can monitor metabolic processes.
"POTS - Postural Orthostatic Tachycardia Syndrome (neurocardiogenic syncope, dysautonomia)","Dysfunction of the autonomic nervous syndrome. Causes symptoms of fatigue, dizziness, increased heart rate, and other symptoms. See syncope."
Pre-transplant Evaluation,"A series of interviews and tests for patients who are being considered for a transplant. It is the second step in the transplant evaluation process. After this evaluation, the transplant team decides if a transplant is a suitable treatment."
Pre-transplant Screening,A series of interviews and physical examinations for patients who are being considered for a transplant. Pre-transplant screening is the first step in the transplant process to discover if a patient has any condition that would immediately rule him or her out for a transplant.
Premature Ventricular Contractions (PVCs),An irregular heartbeat in which the lower chambers of the heart (the ventricles) beat before they are supposed to.
Prevention - Primary,Identifying and altering risk factors to prevent the onset of cardiovascular disease (CVD) leading to heart attack or stroke. (www.heart.org/HEARTORG)
Prevention - Secondary,"Identifying, treating and rehabilitating patients who has established heart disease (post bypass surgery, heart attack or stroke) or those at very high risk to prevent another cardiovascular or cerebrovascular event. (www.heart.org/HEARTORG)"
Primary Pulmonary Hypertension,The pulmonary arteries are the arteries that direct the blood flow from the heart to the lungs. Some patients have high blood pressure in the pulmonary arteries and this is known as pulmonary hypertension.
Prokinetics,Medications that help strengthen the LES and make the stomach empty faster. Prokinetics may be used to treat gastroesophageal reflux disease (GERD) and include bethanechol (Urecholine) and metoclopramide (Reglan).
Prolapse,A condition in which an organ or other part of the body is not in its correct position.
Prophylaxis,The prevention of disease.
Protein,"A group of organic compounds composed of amino acids and rich in nitrogen, required for the growth and repair of tissue and the formation of hormones and enzymes."
Proton Pump Inhibitors (PPIs),"Medications that control or eliminate acid by blocking the enzyme in the stomach that produces acid. Proton pump inhibitors may be used to treat gastroesophageal reflux disease (GERD) and include omeprazole (Prilosec), lansoprazole (Prevacid), pantoprazole (Protonix), rabeprazole (Aciphex), and esomeprazole (Nexium)."
Proxy,"A person appointed to make decisions for someone else, as in a Durable Power of Attorney for Health Care (also called a surrogate or agent)."
Pulmonary Artery,"The vessel through which the blood exits the right ventricle on its way to the lungs, where it receives oxygen."
Pulmonary Edema,An abnormal swelling of tissue in the lungs due to fluid build-up.
Pulmonary Embolism (PE),"A clot in the lungs, most often caused by a deep vein thrombosis (clot in a vein in the legs) that has broken free and traveled to the lungs. Risk of PE decreases after blood-thinners are given."
Pulmonary Function Test (PFT),"A test used to reveal lung capacity and function, and to determine the blood's capacity to transport oxygen."
Pulmonary Hypertension,"A rare lung disorder in which the arteries in the lungs have become narrowed, making it difficult for blood to flow through the vessels. Pulmonary Hypertension is high blood pressure of the pulmonary arteries."
Pulmonary Rehabilitation,"A program that can help a patient learn how to breathe easier and improve quality of life. It includes treatment, exercise training, education and counseling."
Pulmonic Valve,(also called pulmonary valve) The valve that lies between the right ventricle and the pulmonary artery (to the lungs).
Pulmonologist,A staff physician with extensive training in lung disease who specializes in caring for people with lung diseases and breathing problems.
Pulse Rate,The number of heartbeats per minute. The resting pulse rate for an average adult is between 60 and 80 beats per minute.
Pulse Volume Recording (PVR),A procedure that tests the arterial blood flow to the hands or feet. Often blood flow is checked after exercise.
Q-wave MI,"A MI or heart attack that is caused by a prolonged period of blocked blood supply. An area of the heart muscle is affected, causing changes on the ECG as well as chemical markers in the blood."
Radial Artery,The radial artery is the blood vessel that carries oxygen-rich blood in the forearm. You can feel the pulse of the radial artery by feeling the forearm just underneath the thumb. There are three arteries in the normal forearm that carry blood to the hand.
Radioactive Tracer,A low-dose radioactive dye or contrast medium injected into a blood vessel as part of an imaging procedure.
Radiofrequency,An invasive procedure that involves heating tissue in order to destroy it.; used to treat some types of rapid heart rhythms.
Radionuclide Study (MUGA),"A nuclear scan that evaluates the pumping function of the ventricles. chambers and how your heart contracts. During this test, a small amount of radioactive isotope is injected in your bloodstream through an IV line and a scanner records its movement through the heart's ventricles."
Raynaud’s Phenomenon,"Spasms of the small arteries of the fingers, and sometimes, the toes, brought on by exposure to cold or excitement."
Recipient,"A patient who receives an organ, tissue or blood from another person."
"Red Blood Cell (erythrocyte, red cell, red corpuscle)",Red blood cell that delivers oxygen to tissues and removes carbon dioxide and other waste products.
Regurgitation,Leaking or backward flow; the uncontrolled flow of stomach contents back into the esophagus and mouth.
Rejection,"Transplant rejection may occur when immune cells recognize the transplanted organ as different from the rest of the body. The process involves the body trying to get rid of this transplanted organ or tissue by producing antibodies. This is the body’s way of not accepting the new organ. Fortunately, rejection can be treated, especially if the signs of rejection are recognized early. Immunosuppressive drugs help to prevent rejection."
Renal Artery Disease,Most commonly caused by atherosclerosis of the renal arteries (see above). It occurs in people with generalized vascular disease.
Renal Artery Stenosis,Narrowing or blockage of an artery to the kidney which may lead to high blood pressure or kidney damage.
Renal Artery Ultrasound,A non-invasive imaging procedure that uses high-frequency sound waves to view the arteries supplying the kidneys to determine the presence of narrowing.
Renin,An enzyme produced by the kidney. Renin is released into the bloodstream by the kidneys in order to regulate blood pressure
Reoperation,"A repeat surgery, or duplication of a previous procedure. The repeat surgery may involve surgery at the same site, at another site for the same condition, or to repair a feature from a previous surgery."
Required Request,Hospitals must tell the families of suitable donors that their loved one's organs and tissues can be used for transplant. This law is expected to increase the number of donated organs and tissues used for transplantation.
Resident Physician,A doctor who works closely with the primary physician to manage a patient's daily care. The resident is a licensed medical school graduate doing further training in one of the specialties of medicine.
Rest Pain,Near constant pain in the hand or foot because of decreased artery blood flow.
Restenosis,The closing or narrowing of an artery that was previously opened by a cardiac procedure such as angioplasty.
Retransplantation,"Due to organ rejection or transplant failure, some patients return to the waiting list. Reducing the number of retransplants is a critical concern when examining ways to maximize a limited supply of organs."
Rheumatic Fever,"Rheumatic fever is an inflammatory reaction of the heart, usually involving the valves as a consequence of streptococcal infection."
Rheumatic Heart Disease,"Rheumatic Fever can lead to a condition known as rheumatic heart disease. This is usually a thickening and stenosis of one or more of the heart valves and often requires surgery, to repair or replace the involved valve (s)."
Rheumatic Valve Disease,Rheumatic Valve Disease is a consequence of rheumatic fever. Rheumatic valve disease is a thickening and stenosis of one or more of the heart valves and often requires surgery to repair or replace the affected valve(s).
Right Ventricular Biopsy,The removal of a small piece of heart tissue from your right ventricle. This tissue sample is studied under a microscope to help your doctor assess your heart muscle.
Risk Factor (for heart disease),Traits people have that are linked to the development and progression of coronary artery disease. Modifiable risk factors -- related to lifestyle and may be changed or controlled Non-modifiable risk factors--- related to aging and genetics; cannot be changed
Rotablation (PCRA - Percutaneous Transluminal Rotational Atherectomy),"A special catheter, with an acorn-shaped diamond-coated tip, is guided to the point of narrowing in the coronary artery. The tip spins around at a high speed and grinds away the plaque on the artery walls. The microscopic particles are washed safely away in your blood stream and filtered out by the liver and spleen. This process is repeated as needed to allow better blood flow."
Rupture,Break
Saphenous Vein,Vein located in the leg(s) and used for coronary artery bypass surgery. It is surgically removed from the leg and sewn from the aorta to the coronary artery beyond the site of blockage.
Saturated Fat,A fat composed mostly of saturated fatty acids. Saturated fat is the most important dietary factor in raising cholesterol levels.
Secondary Pulmonary Hypertension,Pulmonary hypertension is high blood pressure of the pulmonary arteries. Secondary hypertension is a disease process which reduces the blood supply to the lungs such as a blood clot (pulmonary emboli).
Sensitization,"Potential recipients are ""sensitized"" if there are antibodies in their blood, usually because of pregnancy, blood transfusions or previous rejection of an organ transplant. Sensitization is measured by PRA. Highly sensitized patients are more likely to reject an organ transplant than unsensitized patients."
Sepsis,A serious infection in the bloodstream
Septal Defect,"A hole or ""defect"" is in the heart muscle forming a wall between the left and right side of the heart. Can be an atrial septal defect (ASD) or ventricular septal defect (VSD)."
Septum,The muscular wall separating the right and left sides of the heart.
"Sestamibi Exercise Stress Test (sestamibi stress test, stress perfusion scan, stress Sestamibi)","A diagnostic study, which uses a small amount of radioactive tracer, injected into the body, and a special camera, which detects the radiation, released by the substance to produce a computer image of the heart. Combined with exercise, the study can help determine if there is adequate blood flow to the heart at rest, as compared with activity."
Side Effect,An unintended effect of a drug on tissues or organs other than the drug benefits.
Silent Ischemia,Inadequate supply of oxygen-rich blood to the heart that does not cause symptoms such as chest pain.
Sinoatrial Node (SA or sinus node),A specialized cluster of cells in the heart that initiates the heart beat. Known as the heart's natural pacemaker.
Sleep Apnea,"A sleep disorder in which a person's breathing stops in intervals that may last from 10 seconds to a minute or longer. When an apneic event occurs, air exchange may be impaired."
Sodium,A mineral found in most of the foods we eat. The largest source of dietary sodium comes from sodium chloride or table salt. Intake of sodium tends to increase the retention of water.
Sphygmomanometer,"Blood pressure is measured in millimeters of mercury (mm Hg), which refers to how high the pressure in the arteries can raise a column of mercury in a sphygmomanometer, a device for measuring blood pressure."
Spirometry Test,A breathing test that provides information about lung function and the extent of a patient’s lung disease.
Status,Indicated degree of medical urgency for patients awaiting transplants.
Stenosis,Narrowing or restriction of a blood vessel or valve that reduces blood flow.
Stent,"A small wire mesh tube, inserted after angioplasty that acts as a scaffold to provide support inside the artery."
Sternotomy,"A type of surgical procedure in which an incision is made along the sternum, after which the sternum itself is divided, or ""cracked"". This procedure provides access to the heart and lungs for surgical procedures."
Sternum (breastbone),Bone in chest separated during open heart surgery.
Stress Test,See exercise stress test
Stroke,"Also called cerebral vascular accident or CVA. Impaired artery blood flow to the brain. During a stroke, brain cells in the affected area are starved for oxygen and subsequently die."
Stunned Myocardium,"If blood flow is returned to an area of heart muscle after a period of ischemia (lack of blood supply), the heart muscle may not pump normally for a period of days following the event. This is called ""stunned"" heart muscle or myocardium."
Subvalvular Aortic Stenosis,Subvalvular aortic stenosis is a narrowing of the flow of blood below the aortic valve in the left ventricle. It is usually caused by a membrane or thickening in the muscle in this area.
Sudden Cardiac Death,"A sudden, unexpected death caused by loss of heart function. Most sudden cardiac deaths are caused by arrhythmias, such as ventricular fibrillation."
Superficial Thrombophlebitis,"A clot in a superficial vein, just under the skin."
Survival Rates,"Survival rates indicate the percentage of patients or grafts (transplanted organs) that are still alive functioning at a certain point posttransplant. Survival rates are often given at one-, three-, and five-year increments. Policy modifications are never made without examining their impact on transplant survival rates. Survival rates improve with technological and scientific advancements. Developing policies that reflect and respond to these advances in transplantation will also improve survival rates."
Syncope,Fainting or dizziness.
Syndrome X,"A cluster of risk factors that together, put someone at higher risk of coronary artery disease. These risk factors include: central obesity (excessive fat tissue in the abdominal region), glucose intolerance, high triglycerides and low HDL cholesterol, and high blood pressure."
Systemic Circulation,"The circulation of blood from the left ventricle, through an extensive network of vessels that penetrate every part of the body, to the right side of the heart."
Systemic Lupus erythematosus - SLE (lupus),"A chronic autoimmune disorder in which a person's natural antibodies, which normally fight infection, damage parts of the central nervous system, connective tissue, or internal organs such as the lungs or kidneys. Lupus can cause heart valve disorders."
Systole,"The portion of the cardiac cycle in which the heart muscle contracts, forcing the blood into the main blood vessels."
Systolic,The top number in a blood pressure reading that indicates the force of the heart muscle's contractions as blood is pumped through the heart's chambers
Systolic Pressure,"The pressure of the blood in the arteries when the heart pumps. It is the higher of two blood pressure measurements, e.g., 120/80, where 120 is the systolic pressure."
Tachycardia,Rapid heart beat. A heart rate above 100 beats per minute.
Terminal Condition,"An irreversible, incurable, and untreatable condition from which there can be no recovery, and death is likely to occur soon. Nursing and medical efforts are administered to provide comfort."
"Thallium Exercise Stress Test (stress thallium test, perfusion scan)",A type of nuclear scanning technique that uses the radioactive substance thallium. A thallium stress test combines nuclear scanning with exercise on a treadmill or stationary bicycle to assess heart function and determine if there is adequate flood flow to the myocardium.
Thoracentesis,"Procedure used to drain fluid from the chest, such as a pleural effusion."
Thoracic Aortic Aneurysm,"Aortic aneurysms that occur in the chest area that may involve the aortic root, ascending aorta, aortic arch or descending aorta."
Thoracic Cavity,"The area of the body located between the neck and diaphragm. The thoracic cavity includes the heart and lungs, esophagus, trachea, pleura (lining of the thoracic cavity) mediastinum (space behind the sternum and in between the lungs) chest wall diaphragm (thin muscle below the lungs and heart that separates the chest from the abdomen)"
Thoracic Outlet Syndrome,A group of distinct disorders that affect the nerves in the brachial plexus (nerves that pass into the arms from the neck) and various nerves and blood vessels between the base of the neck and axilla (armpit).
Thoracic Outlet Testing,A procedure that tests blood flow to the arms and hands in various positions. Used to rule out thoracic outlet syndrome.
Thoracic Surgeon,"A surgeon who specializes in treating problems that affect all organs in the chest (thoracic) cavity, such as cancers and diseases of the lung, esophagus, and chest wall; abnormalities of the great vessels; birth defects of the chest; and tumors in the organs contained in the chest cavity. The highly-specialized team of thoracic surgeons at Cleveland Clinic has among the largest experience in the country in diagnosing and surgically treating diseases of the lung and esophagus. Thoracic surgeons work closely with specialists from other areas, including pulmonologists, gastroenterologists, thoracic anesthesiologists and medical and radiation oncologists, to provide a collaborative approach to your diagnosis and treatment."
Thoracic Surgery,"A surgical field focusing on treatments for lung cancer, tumors of the chest wall, emphysema, esophageal swallowing problems, lung transplantation, esophageal cancer and gastroesophageal reflux."
Thoracoscopy/Thorascopy,Video imaging of the chest cavity and lung performed through a 5mm-10mm (1/4 inch) camera. Thorascopy is an essential component of minimally invasive chest surgery (Video-Assisted Thoracic Surgery-VATS).
"Thoracostomy, chest tube","A procedure performed to drain fluid, blood or air from the space around the lungs (pleural space)."
Thoracotomy Surgery,A type of surgery in which an incision is made on the side of the chest between the ribs. The ribs are then spread apart so the surgeon can see inside the chest cavity.
Thorascope,Small video-scope used during video-assisted thoracic surgery to project images on a video screen for the surgeon to view during the procedure.
Thorax,"Area of the body located between the neck and abdomen. The thorax contains the heart, lungs, esophagus and great vessels surrounded by the breastbone or sternum in front, the ribs on each side, and the spine in the back."
Thrombocyte,Also called a platelet. Component of blood that aids in clotting.
Thrombolytic Medication (clot-buster drug),Medication used during a heart attack to dissolve any clots in the coronary arteries that may be blocking blood flow.
Thrombus,A blood clot.
Thrush,A yeast infection for which transplant patients are at risk. It can occur in the mouth or vagina.
Thymoma,Disease in which cancerous (malignant) cells are found in the tissues of the thymus.
Thymus,"Small organ located in the upper/front portion of the chest, extending from the base of the throat to the front of the heart. The cells of the thymus form a part of the body's normal immune system. Early in life, the thymus plays an important role in the development of the immune system."
Tissue Plasminogen Activator (t-PA),"A clot dissolving agent that is injected directly into a clogged artery to break up a blood clot. If used within 3 hours after the start of a stroke, brain damage may be avoided."
Tissue Typing,A test that evaluates the compatibility or closeness of tissue between the organ donor and recipient.
Total Cholesterol,The total amount of cholesterol in the blood.
Total Lung Capacity Test,A test that measures the amount of air in the lungs after a person has breathed in as much as possible.
TPN - Total Parenteral Nutrition,"A special intravenous (IV) solution providing hydration, vitamins, minerals and calories to sustain life. This IV is usually inserted into a large vein in the neck area."
Trachea,Also called the “windpipe.” The main airway (windpipe) supplying air to both lungs.
Tracheal Stricture,A narrowing in the trachea that restricts air flow to the lungs.
Tracheostomy,"Small opening or incision made in the throat. Through the tracheostomy, a tube is placed to aid breathing for patients who may need to be supported longer than expected with mechanical ventilation. Instead of breathing through the nose and mouth, the patient then breathes through the tracheostomy or “trach.”"
Trans-Myocardial Revascularization (TMR),"In patients with severe ischemic heart disease who are not candidates for bypass surgery, it is possible to do a procedure called trans-myocardial laser revascularization. In this procedure, an incision is made in the chest. The heart is exposed and small holes are drilled through the wall of the heart, with a laser allowing blood to flow from the inner chamber of the heart into the muscle of the heart. This procedure is still considered experimental and can be used only in a small number of patients."
Transesophageal Echocardiogram (TEE),"An invasive imaging procedure that creates a picture of the heart's movement, valves and chambers using high frequency sound waves that come from a small transducer passed down your throat. TEE provides clear images of the heart's movement because the transducer is close to the heart and limits interference from air in the lungs. Echo is often combined with Doppler ultrasound and color Doppler to evaluate blood flow across the heart's valves."
"Transient Ischemic Attack (TIA, also called a mini-stroke)","A sudden onset of temporary symptoms (loss of sensation, movement, speech, mental function or vision) lasting minutes, or hours, that occurs when the brain is deprived of oxygen-rich blood but, the effects wear off completely after resumption of blood-flow. It can be a warning sign for stroke. May be caused by carotid artery narrowing or blockage."
Transplant Coordinator,A registered nurse who coordinates all of the events leading up to and following your transplant. The transplant coordinator helps arrange your pre-transplant tests and helps find a suitable donor.
Transplant Surgeon,The staff physician who performs the transplant surgery. The transplant surgeon follows your progress while you are in the hospital and monitors your post-transplant care after you are discharged.
Transtelephonic Monitor,A small monitor is attached to electrode leads (usually on your finger or wrist. Your heart's rhythm is transmitted over the phone line with the aid of this device to your doctor's office.
Tricuspid Valve,The tricuspid valve is the valve that separates the right atrium from the right ventricle and prevents blood from flowing back into the right atrium during contraction of the ventricle.
Triglyceride,A fat found in the blood. Most fat found in the diet and body fat is in the form of triglycerides.
Tube Feeding (enteral feeding),"A temporary artificial method of providing food through a tube inserted into the stomach. This food is in a liquid form and contains calories, vitamins and electrolytes. Enteral feeding may be necessary when food cannot be taken by mouth."
U.S. Scientific Registry of Transplant Recipients,"A database of post-transplant information. Follow-up data on every transplant are used to track transplant center performance, transplant success rates and medical issues impacting transplant recipients. UNOS facilitates the collection, tracking and reporting of transplant recipient and donor data."
Ulceration,"Break in the skin, usually on lower legs or fingers, related to poor circulation and blood pooling."
UNOS,United Network for Organ Sharing – the national nonprofit agency that establishes and enforces regulations to ensure equality in organ transplantation and fairness in distribution of donor organs.
Unstable Angina,"This type of angina is considered an acute coronary syndrome. It may be a new symptom or a change from stable angina. It may come more often, occur at rest, or feel more severe. Although this angina can be relieved with oral medications, it is unstable and may progress to a heart attack. Usually medical treatment or a procedure is required in the near future."
Upper GI (Gastrointestinal) Series,"A series of x-rays used to evaluate the upper gastrointestinal system (the esophagus, stomach and part of the small intestine) to detect abnormalities."
Valve,"There are four valves in the heart: the tricuspid and the mitral valve, which lie between the atria and ventricles and the pulmonic and aortic valves which lie between the ventricles and the blood vessels leaving the heart. The heart valves help to maintain one-way blood flow through the heart."
Valvotomy,Balloon valvotomy is when a balloon is used to at the time of cardiac catheterization to increase the area of a narrowed valve.
Valvuloplasty,A procedure to improve valve function.
Variant Angina,A type of angina that occurs at rest. Most often due to coronary spasm.
Vasodilator,"A type of medication that relaxes and dilates the blood vessels, allowing increased blood flow."
Vasospastic Disorders,"Conditions caused by spasm of blood vessels, causing them to clamp down (constrict) or open up (dilate). Examples include Raynaud's Disease, Erythromelalgia, Hypothenar Hammer Syndrome."
Veins,"Blood vessels that carry blood from the arms, legs, head and body organs back to the heart."
Vena Cava,The two large veins that collect blood returning from all parts of the body and return it to the heart (right atrium) The inferior vena cava brings blood from the lower half of the body; and the superior vena cava brings blood from the upper half.
Venous Duplex Ultrasound,A non-invasive imaging procedure that uses high-frequency sound waves to determine the presence of clots in the arms or legs.
Venous Thrombosis,A blockage in a vein caused by a thrombus.
Ventilator,A machine used to assist or control breathing (may be called a respirator).
Ventricles,"The lower, pumping chambers of the heart. The heart has two ventricles - the right and left ventricle."
Ventricular Fibrillation,"An erratic, disorganized firing of impulses from the ventricles. The ventricles quiver and are unable to contract or pump blood to the body. This is a medical emergency that must be treated with cardiopulmonary resuscitation (CPR) and defibrillation as soon as possible."
Ventricular Rupture,"In patients who suffer a significant heart attack, it is sometimes the case that the area of the muscle wall of the heart that is affected can become so weakened that it ruptures and leaks blood from the inner chamber of the heart."
Ventricular Septal Defect,The right and left ventricles lie next to each other in the heart. The septum is the membranous wall that separates them. A ventricular septal defect is a hole in the septum.
Ventricular Tachycardia,"A rapid life-threatening rhythm originating from the lower chambers of the heart. The rapid rate prevents the heart from filling adequately with blood, and less blood is able to pump through the body."
Video-assisted Lobectomy Surgery (VATS lobectomy),"A minimally invasive surgical technique that is less invasive than traditional thoracotomy surgery. During VATS lobectomy surgery, three 1-inch incisions and one 3- to 4-inch incision are made to provide access to the chest cavity without spreading of the ribs. With VATS lobectomy, the patient may experience a more rapid recovery with less pain and a shorter hospital stay (usually 3 days) than traditional thoracotomy surgery."
Video-assisted Thoracic Surgery (VATS),"Surgery of the chest that is performed with a thoracoscope (small video-scope) using small incisions and special instruments to minimize trauma. During thoracoscopic surgery, three small (approximately 1-inch) incisions are used as compared with one long 6- to 8-inch incision that is used during traditional, “open” thoracic surgery. As compared with traditional surgery, patients who undergo minimally invasive surgery experience decreased postoperative pain, shorter hospital stay and a more rapid recovery and return to work. Other possible benefits include reduced risk of infection and less bleeding."
Vitamin,"One of the organic compounds needed by the body for good health, proper metabolic functioning and disease prevention."
Waiting List,"After evaluation by the transplant physician, and after committee presentation, a patient is added to the national waiting list by the transplant center. Lists are specific to both geographic area and organ type: heart, lung, kidney, pancreas, intestine, heart-lung, kidney-pancreas. Each time a donor organ becomes available, the computer generates a list of potential recipients based on factors that include blood type, organ size, medical urgency and time on the waiting list. A ""new"" United Network for Organ Sharing (UNOS) waiting list is generated each time an organ becomes available. There are many factors that go into the actual decision of donor selection and recipient matching. Although your place on the list and the amount of time you have been waiting for transplant are important factors, the transplant surgeon ultimately is the one to make the final decision."
Wedge Resection,"Surgical removal of a wedge-shaped portion of tissue from one, or both, lungs. A wedge resection is typically performed for the diagnosis or treatment of small lung nodules."
Wolff Parkinson White Syndrome (WPW),"WPW is a form of supraventricular tachycardia (fast heart rate originating above the ventricles). When you have WPW, along with your normal conduction pathway, you have extra pathways called accessory pathways. These electrical impulses set up a short circuit causing the heart to beat rapidly and conduct impulses in both directions. The impulses travel through the extra pathway (short cut) as well as the normal AV-HIS Purkinje system. The impulses can travel around the heart very quickly, in a circular pattern, causing the heart to beat unusually fast. This is called re-entry tachycardia."
